,dissatisfied,satisfied,accuracy,macro avg,weighted avg
precision,0.9298597194388778,0.9384758797483104,0.9345100834346568,0.9341677995935941,0.9345021359470544
recall,0.928,0.9400824838533967,0.9345100834346568,0.9340412419266984,0.9345100834346568
f1-score,0.928928928928929,0.9392784947908568,0.9345100834346568,0.9341037118598929,0.9345053102501161
support,11000.0,12851.0,0.9345100834346568,23851.0,23851.0
